market_cap;circulating_supply;total_supply;max_supply;binanceSymbole
438428011;183446.968;183446.968;;PAXGUSDT
436832219;16547859096.033;69000000000.0;69000000000.0;MEMEUSDT
433135331;115200000.0;1000000000.0;1000000000.0;ETHFIUSDT
425997296;13753031497.1639;21000000000.0;21000000000.0;RVNUSDT
425267353;105117465.5;107822406.0;;QTUMUSDT
423826380;687660230.0;1078518456.25778;;LUNAUSDT
423558495;177619433541.141;177619433541.141;;HOTUSDT
418618849;31860536.3769482;31860536.3769482;31860536.3769482;LPTUSDT
416509073;56127938240.441696;99451527302.1655;99451527302.1655;AMPUSDT
414464381;262743981.234871;555000000.0;555000000.0;RAYUSDT
408700911;725800324.53419;993767105.439565;1000000000.0;ELFUSDT
407046264;56995463931.5431;57021195000.0;;SCUSDT
406181122;105305664.68661284;200000000.0;200000000.0;GALUSDT
398182313;79042223.6892461;99681495.5911336;99681495.5911336;FXSUSDT
388314319;90869590.0;1002385002.0;;SAGAUSDT
386183505;462500000.0;500000000.0;500000000.0;SFPUSDT
385421671;1000000000.0;1000000000.0;;GLMUSDT
382958299;211400000.0;1000000000.0;1000000000.0;ARKMUSDT
382703282;748588850.663327;1000000000.0;1000000000.0;BICOUSDT
381526644;6856085.76329154;10000000.0;10000000.0;COMPUSDT
378077915;1494259733.9526055;1500000000.0;1500000000.0;BATUSDT
356562622;5631334.342;10000000.0;10000000.0;METISUSDT
353390631;11757860.9093917;18920000.0;;DASHUSDT
352834147;65093580.54427269;65093580.54427269;;GASUSDT
351914777;430506132.0;1996617244.0;2000000000.0;IDUSDT
345730646;9647764144.42009;11035000000.0;;TUSDT
344911254;8999999999.0;8999999999.0;;XEMUSDT
340590086;16003133.3617984;21000000.0;;DCRUSDT
337163641;14972556.4155448;21000000.0;21000000.0;ZECUSDT
335139972;96025000.0;100000000.0;100000000.0;MASKUSDT
332337534;771041667.0;5000000000.0;5000000000.0;PIXELUSDT
331660711;40039312.049009934;43179657.1299165;45094973.0;ANTUSDT
324380522;900197857.0;1000000000.0;;ONTUSDT
321636778;1245991468.94246;1373873397.44246;1374513896.0;LRCUSDT
319093643;345500561.049234;440000000.0;;FLUXUSDT
307221809;50600000000.0;100000000000.0;100000000000.0;RSRUSDT
292538307;8902080000.0;9900000000.0;9900000000.0;JSTUSDT
283863056;8980098.074112339;10000000.0;10000000.0;KSMUSDT
276520629;75122196081.0;;;VTHOUSDT
275534478;313172139.8780632;1000000000.0;1000000000.0;YGGUSDT
274092676;114202458.771486;131236553.889435;131236553.889435;API3USDT
271350697;7085672.647228521;11276871.0;;SSVUSDT
271165916;857411985.0;1115122313.0;;GLMRUSDT
269222488;9458872.28865783;9458872.28865783;13250000.0;GMXUSDT
268216584;10391492.0;100000000.0;100000000.0;OMNIUSDT
256119934;12305426115.0007;13156044839.79314;13156044839.79314;ONEUSDT
254517919;812434439.326204;812434439.326204;978064789.0;CHRUSDT
253724169;733888778.0;1000000000.0;1000000000.0;C98USDT
252511403;100000000.0;100000000.0;;WAVESUSDT
251715497;144818773.0;;;LSKUSDT
240830984;270978293.43004;1000000000.0;1000000000.0;KDAUSDT
